#{"t_start": 1701555576.22989, "env_id": "CartPole-v1"}
r,l,t
95.0,95,53.418843
500.0,500,53.834446
137.0,137,53.977342
164.0,164,54.125941
108.0,108,54.216247
500.0,500,54.575459
94.0,94,54.587217
94.0,94,54.725064
92.0,92,54.736912
24.0,24,54.740338
94.0,94,54.876214
11.0,11,54.877874
88.0,88,54.928348
89.0,89,54.940103
87.0,87,55.092717
26.0,26,55.096326
95.0,95,55.108235
97.0,97,55.122233
101.0,101,55.303183
108.0,108,55.316836
85.0,85,55.453756
19.0,19,55.456586
15.0,15,55.458643
29.0,29,55.462207
16.0,16,55.464292
21.0,21,55.467319
12.0,12,55.468765
12.0,12,55.470511
28.0,28,55.473769
31.0,31,55.477942
44.0,44,55.483665
98.0,98,55.665914
102.0,102,55.678181
104.0,104,55.81578
94.0,94,55.828014
92.0,92,55.839333
31.0,31,55.96801
12.0,12,55.969686
16.0,16,55.989403
21.0,21,55.991896
24.0,24,55.994559
47.0,47,56.000302
42.0,42,56.00523
11.0,11,56.00641
23.0,23,56.009254
26.0,26,56.012325
23.0,23,56.014892
97.0,97,56.133642
16.0,16,56.135653
95.0,95,56.146822
93.0,93,56.30247
91.0,91,56.313064
88.0,88,56.322845
27.0,27,56.326268
136.0,136,56.449861
149.0,149,56.769689
304.0,304,56.91198
44.0,44,56.918305
86.0,86,56.928494
84.0,84,57.082945
159.0,159,57.101316
337.0,337,57.410365
147.0,147,57.427686
342.0,342,57.775373
35.0,35,57.905184
28.0,28,57.909317
17.0,17,57.911623
127.0,127,57.927915
24.0,24,57.930885
500.0,500,58.450549
123.0,123,58.590506
29.0,29,58.594238
34.0,34,58.598607
27.0,27,58.60214
19.0,19,58.604816
500.0,500,58.935067
153.0,153,59.283441
114.0,114,59.298203
26.0,26,59.301621
18.0,18,59.303598
14.0,14,59.305596
500.0,500,59.825664
500.0,500,60.343659
430.0,430,60.85404
132.0,132,60.99607
500.0,500,61.254023
500.0,500,61.737252
147.0,147,61.919262
149.0,149,62.043728
151.0,151,62.061668
154.0,154,62.186606
128.0,128,62.253635
118.0,118,62.374686
19.0,19,62.37725
110.0,110,62.389772
105.0,105,62.508558
118.0,118,62.57283
113.0,113,62.715936
24.0,24,62.719352
96.0,96,62.731033
91.0,91,62.743349
26.0,26,62.747143
500.0,500,63.26641
14.0,14,63.269205
500.0,500,63.793587
419.0,419,64.303028
116.0,116,64.447919
329.0,329,64.817899
19.0,19,64.820433
21.0,21,64.82357
126.0,126,64.839087
500.0,500,65.361725
40.0,40,65.492507
375.0,375,65.870859
115.0,115,65.88539
103.0,103,66.059045
103.0,103,66.070998
111.0,111,66.191378
121.0,121,66.205427
87.0,87,66.40099
500.0,500,66.759851
500.0,500,67.229813
33.0,33,67.343439
21.0,21,67.346002
103.0,103,67.357974
109.0,109,67.370719
47.0,47,67.483689
104.0,104,67.495924
98.0,98,67.533644
98.0,98,67.671079
34.0,34,67.675387
97.0,97,67.688704
21.0,21,67.691381
500.0,500,68.210795
388.0,388,68.714449
19.0,19,68.717094
36.0,36,68.721467
98.0,98,68.73414
281.0,281,69.156504
96.0,96,69.168809
21.0,21,69.171432
38.0,38,69.176575
18.0,18,69.178836
30.0,30,69.182718
297.0,297,69.676498
18.0,18,69.679197
19.0,19,69.68146
13.0,13,69.683083
16.0,16,69.685461
11.0,11,69.687225
14.0,14,69.689228
14.0,14,69.691076
18.0,18,69.693459
14.0,14,69.695285
16.0,16,69.697545
16.0,16,69.699377
15.0,15,69.701396
22.0,22,69.704607
14.0,14,69.706369
18.0,18,69.708622
359.0,359,70.185546
100.0,100,70.198607
106.0,106,70.340178
115.0,115,70.404568
120.0,120,70.544414
91.0,91,70.556523
87.0,87,70.567816
79.0,79,70.709613
171.0,171,70.808198
129.0,129,70.944259
132.0,132,70.959478
110.0,110,71.078768
35.0,35,71.0832
94.0,94,71.124046
97.0,97,71.243885
35.0,35,71.247925
39.0,39,71.25247
54.0,54,71.258971
37.0,37,71.263041
35.0,35,71.267335
109.0,109,71.387502
213.0,213,71.644303
103.0,103,71.656431
47.0,47,71.661982
29.0,29,71.665261
31.0,31,71.66899
175.0,175,71.851002
294.0,294,71.992514
50.0,50,71.998331
392.0,392,72.474068
102.0,102,72.48708
25.0,25,72.597331
20.0,20,72.599787
13.0,13,72.601528
16.0,16,72.603511
20.0,20,72.614631
18.0,18,72.616624
21.0,21,72.619564
16.0,16,72.621258
16.0,16,72.623279
25.0,25,72.625971
16.0,16,72.628145
18.0,18,72.630328
21.0,21,72.632768
16.0,16,72.634482
129.0,129,72.771173
261.0,261,72.958944
86.0,86,72.970053
101.0,101,73.107686
183.0,183,73.132287
135.0,135,73.313876
119.0,119,73.329959
250.0,250,73.485897
470.0,470,73.99124
39.0,39,73.99624
98.0,98,74.175018
99.0,99,74.187629
97.0,97,74.324302
107.0,107,74.338289
22.0,22,74.341022
36.0,36,74.345525
117.0,117,74.693521
400.0,400,74.868878
225.0,225,75.0978
84.0,84,75.108139
199.0,199,75.258307
234.0,234,75.505539
24.0,24,75.509097
92.0,92,75.644103
113.0,113,75.659832
17.0,17,75.662216
112.0,112,75.709856
375.0,375,76.007196
20.0,20,76.010323
20.0,20,76.01316
19.0,19,76.015576
19.0,19,76.018164
18.0,18,76.0208
20.0,20,76.033016
26.0,26,76.036532
428.0,428,76.315027
22.0,22,76.317917
21.0,21,76.333344
21.0,21,76.335828
22.0,22,76.445119
16.0,16,76.447571
148.0,148,76.464645
18.0,18,76.466794
18.0,18,76.468655
20.0,20,76.471146
218.0,218,76.60297
154.0,154,76.791557
129.0,129,76.806139
107.0,107,76.926805
87.0,87,76.936901
91.0,91,76.982015
237.0,237,77.11745
339.0,339,77.586041
24.0,24,77.588827
21.0,21,77.59112
44.0,44,77.596063
26.0,26,77.599378
18.0,18,77.601539
20.0,20,77.603855
21.0,21,77.60646
129.0,129,78.086555
129.0,129,78.097032
128.0,128,78.107395
129.0,129,78.117915
19.0,19,78.119472
21.0,21,78.121213
21.0,21,78.122925
21.0,21,78.124563
128.0,128,78.134876
126.0,126,78.144893
126.0,126,78.155245
21.0,21,78.157024
125.0,125,78.167293
124.0,124,78.177567
131.0,131,78.18813
123.0,123,78.198045
124.0,124,78.208132
128.0,128,78.218255
122.0,122,78.228259
129.0,129,78.238707
23.0,23,78.240634
21.0,21,78.242347
133.0,133,78.253067
130.0,130,78.263518
124.0,124,78.273339
128.0,128,78.283397
131.0,131,78.293989
127.0,127,78.304269
126.0,126,78.314425
23.0,23,78.316381
127.0,127,78.326429
127.0,127,78.336666
20.0,20,78.338378
125.0,125,78.348344
130.0,130,78.358741
127.0,127,78.369101
125.0,125,78.379133
124.0,124,78.389182
129.0,129,78.399373
125.0,125,78.409271
126.0,126,78.419143
129.0,129,78.429504
